GOID	TERM	CORRECTED_PVALUE	UNCORRECTED_PVALUE	NUM_LIST_ANNOTATIONS	LIST_SIZE	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	FDR_RATE	EXPECTED_FALSE_POSITIVES	ANNOTATED_GENES
GO:0044282	small molecule catabolic process	7.11599214686702e-09	5.51627298206745e-12	31	350	152	7166	0.00%	0.00	YDR248C, ARO10, DLD1, GOR1, YBR208C, GND2, YJR096W, GDH2, GRE3, GCV2, DAK2, YBR145W, YIL160C, GAD1, SNO4, XKS1, GCY1, UGA2, HSP33, EHT1, HSP32, ADH4, SIW14, BNA5, UGA1, PDC6, SHM2, AMS1, ALT1, PAD1, DAL81
GO:0008152	metabolic process	8.28708556194397e-09	6.42409733484029e-12	267	350	4253	7166	0.00%	0.00	DAL7, IDH1, SUA7, RNT1, GPM2, RTC3, MRPS35, MSC3, RPC19, COX4, YML100W, ACO1, TOD6, BDH2, YHR138C, ARG1, SLM5, SSA3, GCN3, PKH1, CRG1, MHT1, XKS1, GAD1, SNO4, YDL124W, DAK2, TFS1, SEN1, GDH2, NOP19, HIS5, DLD3, ARA1, RPL21B, ALD4, GOR1, MDH1, SDS3, POS5, RPA190, YDR248C, NSR1, GPG1, HSL1, SAM4, MRP21, ARG7, AHP1, SMK1, PFK26, FRA1, MET13, ACS2, BGL2, CYB2, YIL108W, NMA111, BNA5, CPS1, SOD1, UGA2, TPS2, HSP33, EHT1, MTQ2, ATP25, CBP3, MRPL24, MRPL49, ALD3, AAH1, ANB1, TSA2, YNL200C, PLN1, DPB4, TKL2, SER3, FAA1, DLD1, PRB1, UTP18, DAL3, YNR073C, HOC1, ALT1, AYR1, VAR1, YLR455W, CDC16, THI6, ERG27, IMG1, RAD2, MRPL23, GLC3, MTF2, PNP1, RPL33A, VTC3, MRPL9, LYS4, YBR145W, IMD2, CDD1, HCA4, FBP26, YBR208C, GSY2, MET14, COX2, GTT1, SHO1, MRPL10, ARG8, ATP17, VID22, RPS29B, ILV5, SPE1, DHR2, DAL81, NDI1, SNZ3, MRPS5, IGD1, ADK1, ATP20, GRX4, SRO9, TOP1, UGA1, SDH7, ACS1, ADH4, RPP2B, TRR2, DPB2, STR2, PHO5, YKL151C, GDB1, RPF1, GRE3, YLR345W, MED1, QCR2, GDE1, MCK1, COX13, YJR096W, CAT2, ARO10, NQM1, LYS1, MXR2, SDS22, MSC1, DUN1, ATP4, YMR315W, GGA1, GPH1, MET3, ADE16, ETR1, TDA1, GLK1, PCK1, BUD16, ARG4, FMN1, KTR4, MDH2, RDL1, GCY1, YLL058W, ADD37, ATG23, SAF1, ARA2, YLR150W, ALD2, RIB5, GSY1, PHO81, GND2, INO1, EXG1, ACF2, DSF1, PAD1, GFA1, YHI9, AMS1, CYC7, SOL4, CWC2, RIM15, PHO11, IMA1, DCS2, NCS6, YMR196W, SNZ1, BUL1, HXK1, TMA17, TAF9, IDH2, HIS3, STP22, LCB5, PNC1, RML2, YCL047C, BDF1, FMP40, SHM2, YPT6, IDP2, SDT1, BUD27, PDC6, DPS1, AIM17, MET5, HSP32, EXO84, ISC1, GPD1, MSH1, DCS1, ECM38, SDH2, SNZ2, CIT1, YIL160C, MAK5, GCV2, CMK1, MRPL22, UBC4, TPS1, TAL1, TPK3, MEC3, SWD2, PHO84, CBP6, PUS9, YHR030C, TMT1, CTT1, VTC4, PBI2, RMT2, DCN1, VTC2, TDH1, SML1, HSP104, MCR1, GIP2, SIW14, RPL8A
GO:0019362	pyridine nucleotide metabolic process	9.48124088207151e-09	7.34979913338877e-12	23	350	85	7166	0.00%	0.00	TAL1, GPM2, YNL200C, ALD4, GND2, TKL2, POS5, PNC1, YCL047C, NQM1, GPD1, HXK1, YBR145W, YKL151C, YLR345W, SOL4, IDP2, GLK1, BNA5, PNP1, NDI1, YMR315W, TDH1
GO:0032787	monocarboxylic acid metabolic process	1.19771311171621e-08	9.28459776524192e-12	34	350	184	7166	0.00%	0.00	DAL81, PAD1, SPE1, TDH1, GLK1, UGA1, CYB2, ETR1, IDP2, ACS2, EHT1, UGA2, HSP32, HSP33, ACS1, BNA5, YIL160C, HXK1, ALD3, SNO4, DAL7, YLR345W, TMA17, YBR145W, CAT2, ALD4, GND2, ALD2, GPM2, DLD3, YDR248C, DLD1, GOR1, FAA1
GO:0055086	nucleobase-containing small molecule metabolic process	1.40593185005698e-08	1.08986965120696e-11	43	350	281	7166	0.00%	0.00	COX2, TKL2, PNC1, POS5, ATP17, NQM1, DAL3, YCL047C, COX13, TAL1, GPM2, YNL200C, GND2, ALD4, IMD2, YKL151C, YBR145W, AAH1, CDD1, YLR345W, QCR2, DAL7, GPD1, HXK1, SNZ2, BNA5, PNP1, FMN1, SOL4, IDP2, SDT1, ADE16, GLK1, CYC7, ATP4, ADK1, YMR315W, ATP20, TDH1, SAM4, COX4, NDI1, GFA1
GO:0017144	drug metabolic process	2.09201100277122e-08	1.62171395563661e-11	42	350	273	7166	0.00%	0.00	BNA5, SDH7, MET5, UGA2, BUD16, FMN1, MET3, THI6, GLK1, PDC6, CYC7, ATP4, ADK1, ATP20, TDH1, SHM2, SAM4, COX4, NDI1, CTT1, SNZ3, AHP1, GFA1, COX2, MET14, ATP17, ARO10, DAL3, TSA2, COX13, GPM2, RIB5, ALD4, YBR208C, YBR145W, GCV2, YLR345W, QCR2, DAL7, SNZ1, SNZ2, HXK1
GO:0055114	oxidation-reduction process	3.93435989045676e-08	3.04989138795097e-11	35	350	202	7166	0.00%	0.00	ETR1, MET3, GPH1, IDP2, ADH4, GIP2, ACS1, SOD1, GLC3, COX4, ACO1, NDI1, YMR315W, IGD1, CYC7, GSY1, ALD4, PLN1, COX13, COX2, MET14, MDH1, GSY2, SDH2, YIL160C, CIT1, DAL7, MDH2, IDH1, GPD1, IDH2, QCR2, GDB1, DAK2, YBR145W
GO:0046496	nicotinamide nucleotide metabolic process	5.5756195420984e-08	4.32218569154914e-11	22	350	84	7166	0.00%	0.00	NDI1, GPD1, HXK1, YKL151C, YBR145W, YLR345W, YMR315W, TDH1, SOL4, TAL1, GPM2, IDP2, YNL200C, GND2, ALD4, GLK1, TKL2, BNA5, POS5, PNP1, YCL047C, NQM1
GO:0009117	nucleotide metabolic process	8.7796131881752e-08	6.80590169625985e-11	38	350	240	7166	0.00%	0.00	YMR315W, ATP4, ADK1, ATP20, TDH1, CYC7, COX4, NDI1, PNP1, FMN1, BNA5, ADE16, GLK1, SOL4, IDP2, SDT1, YLR345W, QCR2, YKL151C, IMD2, YBR145W, AAH1, HXK1, SNZ2, GPD1, ATP17, NQM1, YCL047C, COX2, TKL2, PNC1, POS5, YNL200C, ALD4, GND2, TAL1, COX13, GPM2
GO:0006091	generation of precursor metabolites and energy	1.31684170445525e-07	1.02080752283353e-10	34	350	200	7166	0.00%	0.00	GIP2, SOD1, ACS1, GLC3, ADH4, GPH1, IDP2, ETR1, GLK1, CYC7, IGD1, TDH1, COX4, ACO1, NDI1, COX2, MDH1, GSY2, COX13, GPM2, GSY1, PLN1, DAK2, GDB1, YBR145W, YLR345W, IDH2, QCR2, DAL7, MDH2, IDH1, SDH2, CIT1, HXK1
GO:0009987	cellular process	1.48287408751594e-07	1.14951479652398e-10	305	350	5256	7166	0.00%	0.00	SSA4, ATP4, YMR315W, GGA1, DUN1, FRE1, SDS22, MSC1, SDH6, MXR2, LYS1, BUD16, FMN1, ARG4, TDA1, ETR1, ADE16, GLK1, MET3, GPH1, YLR345W, GRE3, QCR2, MED1, RPF1, GDB1, YKL151C, PHO5, STR2, ARO10, ATP10, NQM1, LOT6, CAT2, MCK1, COX13, GDE1, YJR096W, CYC7, GFA1, YHI9, PAD1, DCS2, IMA1, YCR102C, HSP42, RIM15, PHO11, SOL4, CWC2, ATG23, PEX30, SAF1, ADD37, YLL058W, MDH2, KTR4, GCY1, OYE3, RDL1, DSF1, ACF2, INO1, ATP11, EXG1, RIB5, GSY1, ALD2, GND2, PHO81, YLR150W, ARA2, HSP150, SHM2, PEX5, FMP40, BDF1, HSP32, ENT2, MET5, AIM17, DPS1, PDC6, YPT6, BUD27, SDT1, IDP2, HIS3, IDH2, TAF9, TMA17, SNZ1, HXK1, BUL1, NCS6, RML2, YCL047C, PNC1, STP22, LCB5, DCN1, VTC2, TDH1, RMT2, IVY1, PBI2, TMT1, VTC4, CTT1, RPL8A, COF1, SWA2, SIW14, BIM1, ENA5, GIP2, MCR1, HSP104, ERP1, SML1, TPS1, UBC4, MRPL22, ENA2, MAK5, CMK1, GCV2, ECM38, SDH2, YIL160C, CIT1, SNZ2, EXO84, MSH1, DCS1, ISC1, GPD1, YHR030C, CBP6, PUS9, SWD2, PHO84, TAL1, MEC3, TPK3, SSA3, PKH1, GCN3, SLM5, HSP12, ARG1, YHR138C, COX4, RPC19, MSC3, TOD6, ACO1, YML100W, MHT1, HSP78, DAL7, IDH1, BUD6, MRPS35, RTC3, SUA7, GPM2, RNT1, SAM37, CWP1, MET13, FRA1, ARG7, AHP1, OM14, PFK26, SMK1, HSL1, SAM4, MRP21, EHT1, TPS2, UGA2, HSP33, RTN1, ATP25, MTQ2, BNA5, SOD1, CPS1, CYB2, RTN2, PRX1, NMA111, BGL2, ACS2, SEN1, GDH2, ECM30, DAK2, YDL124W, TFS1, GAD1, SNO4, YGR127W, XKS1, YDR248C, RPA190, NSR1, GPG1, MDH1, YMR046C, GOR1, POS5, SDS3, RPL21B, ARA1, MIC10, ALD4, NOP19, HIS5, DLD3, CDC16, SRX1, YLR455W, ALT1, HOC1, HOT13, AYR1, VAR1, YNR073C, PNP1, MTF2, RPL33A, MRPL23, GLC3, RAD2, THI6, HBT1, IMG1, ERG27, ANB1, AAH1, ALD3, MRPL49, CBP3, MRPL24, UTP18, DAL3, FAA1, SER3, TKL2, DPB4, MXR1, PRB1, DLD1, YNL200C, PLN1, TSA2, ATP20, ADK1, GRX4, YBL005W-A, IGD1, MRPS5, DHR2, SPE1, SNZ3, NDI1, DAL81, ADH4, RPP2B, TRR2, DPB2, SDH7, ACS1, SRO9, UGA1, TOP1, POM33, HCA4, BUD3, IMD2, VRP1, YBR145W, HSP26, CDD1, LYS4, ENA1, VTC3, MRPL9, RPS29B, VID22, AHA1, ATP17, ILV5, COX2, MET14, GTT1, GSY2, SHO1, MRPL10, ARG8, YBR208C, FBP26
GO:0006753	nucleoside phosphate metabolic process	2.37576715040449e-07	1.84167996155387e-10	38	350	248	7166	0.00%	0.00	GPM2, TAL1, COX13, GND2, ALD4, YNL200C, POS5, PNC1, COX2, TKL2, YCL047C, NQM1, ATP17, GPD1, HXK1, SNZ2, AAH1, IMD2, YKL151C, YBR145W, QCR2, YLR345W, SDT1, IDP2, SOL4, GLK1, ADE16, BNA5, FMN1, PNP1, NDI1, COX4, CYC7, TDH1, ATP4, YMR315W, ADK1, ATP20
GO:0006793	phosphorus metabolic process	2.50274125673432e-07	1.94010950134443e-10	79	350	794	7166	0.00%	0.00	PNP1, BUD16, FMN1, THI6, SDT1, IDP2, TDA1, ADE16, GLK1, SDS22, ATP4, DUN1, YMR315W, PKH1, COX4, AYR1, TKL2, FAA1, PNC1, YCL047C, NQM1, MCK1, COX13, GDE1, GPM2, YNL200C, LCB5, AAH1, YKL151C, YLR345W, QCR2, SNZ1, PHO5, HXK1, SIW14, BNA5, ACS1, RPP2B, SOL4, ACS2, PHO11, RIM15, CYC7, ADK1, VTC2, ATP20, TDH1, HSL1, SNZ3, VTC4, NDI1, SMK1, GFA1, PFK26, MET14, COX2, INO1, SHO1, POS5, YDR248C, ATP17, YHR030C, TAL1, TPK3, PHO81, ALD4, GND2, FBP26, PHO84, DAK2, IMD2, YBR145W, CMK1, VTC3, GCY1, XKS1, GPD1, SNZ2, CIT1
GO:0006733	oxidoreduction coenzyme metabolic process	4.29127841350105e-07	3.32657241356671e-10	23	350	101	7166	0.00%	0.00	YLR345W, YBR145W, YKL151C, HXK1, GPD1, NQM1, YCL047C, PNC1, POS5, TKL2, ALD4, GND2, YNL200C, GPM2, TAL1, TDH1, YMR315W, NDI1, PNP1, BNA5, GLK1, IDP2, SOL4
GO:0006979	response to oxidative stress	4.33722686388357e-07	3.3621913673516e-10	26	350	128	7166	0.00%	0.00	SRX1, HSP12, GRX4, CTT1, AHP1, MXR2, SOD1, HSP42, UGA2, TRR2, YDR222W, TDA1, PRX1, MCR1, YDL124W, CMK1, GRE3, GCY1, YLR225C, GAD1, POS5, MXR1, LOT6, NQM1, TSA2, YJR096W
GO:0016053	organic acid biosynthetic process	5.68669311510773e-07	4.40828923651762e-10	33	350	200	7166	0.00%	0.00	MET5, MHT1, HSP33, HSP32, EHT1, ARG4, BNA5, ETR1, MET13, SHM2, ALT1, ARG7, ARG1, SAM4, SPE1, LYS1, ILV5, SER3, MET14, ARG8, ALD2, ALD4, HIS5, DLD3, IDH2, HIS3, TMA17, STR2, YLL058W, ALD3, LYS4, SNO4, IDH1
GO:0046394	carboxylic acid biosynthetic process	5.68669311510773e-07	4.40828923651762e-10	33	350	200	7166	0.00%	0.00	SHM2, MET13, SAM4, SPE1, LYS1, ARG1, ARG7, ALT1, BNA5, ARG4, MHT1, EHT1, HSP32, HSP33, MET5, ETR1, TMA17, HIS3, IDH2, IDH1, SNO4, ALD3, LYS4, STR2, YLL058W, ARG8, MET14, SER3, ILV5, DLD3, HIS5, ALD4, ALD2
GO:0071704	organic substance metabolic process	5.95721219117538e-07	4.61799394664758e-10	254	350	4083	7166	0.00%	0.00	RPL8A, SIW14, GIP2, MCR1, HSP104, SML1, DCN1, VTC2, TDH1, RMT2, PBI2, VTC4, YHR030C, CBP6, PUS9, SWD2, PHO84, TAL1, MEC3, TPK3, UBC4, TPS1, MRPL22, MAK5, CMK1, GCV2, ECM38, SDH2, CIT1, SNZ2, YIL160C, EXO84, DCS1, MSH1, GPD1, ISC1, HSP32, MET5, AIM17, DPS1, PDC6, BUD27, SDT1, IDP2, SHM2, FMP40, BDF1, RML2, YCL047C, PNC1, STP22, LCB5, HIS3, IDH2, TAF9, TMA17, SNZ1, HXK1, BUL1, NCS6, YMR196W, DCS2, IMA1, RIM15, SOL4, CWC2, AMS1, CYC7, GFA1, PAD1, DSF1, INO1, EXG1, GSY1, RIB5, ALD2, PHO81, GND2, YLR150W, ARA2, SAF1, ADD37, YLL058W, MDH2, KTR4, GCY1, BUD16, FMN1, ARG4, PCK1, ETR1, TDA1, ADE16, GLK1, MET3, GPH1, GGA1, ATP4, YMR315W, DUN1, SDS22, MSC1, MXR2, LYS1, ARO10, NQM1, CAT2, COX13, MCK1, GDE1, YJR096W, GRE3, YLR345W, QCR2, MED1, GDB1, RPF1, YKL151C, PHO5, STR2, RPP2B, ADH4, DPB2, SDH7, ACS1, SRO9, TOP1, UGA1, ATP20, ADK1, GRX4, IGD1, MRPS5, DHR2, SPE1, SNZ3, NDI1, DAL81, VID22, RPS29B, ATP17, ILV5, MET14, GTT1, COX2, GSY2, MRPL10, SHO1, ARG8, YBR208C, FBP26, HCA4, IMD2, YBR145W, CDD1, LYS4, VTC3, MRPL9, PNP1, MTF2, RPL33A, MRPL23, GLC3, RAD2, THI6, IMG1, ERG27, CDC16, YLR455W, HOC1, ALT1, AYR1, VAR1, YNR073C, UTP18, DAL3, FAA1, SER3, TKL2, DPB4, PRB1, DLD1, YNL200C, ANB1, AAH1, ALD3, MRPL49, CBP3, MRPL24, UGA2, TPS2, HSP33, EHT1, ATP25, MTQ2, BNA5, SOD1, CPS1, CYB2, NMA111, YIL108W, BGL2, ACS2, MET13, FRA1, ARG7, PFK26, SMK1, HSL1, SAM4, MRP21, YDR248C, RPA190, NSR1, GPG1, MDH1, GOR1, POS5, SDS3, ARA1, RPL21B, ALD4, HIS5, NOP19, DLD3, SEN1, GDH2, YDL124W, DAK2, TFS1, SNO4, GAD1, XKS1, MHT1, SSA3, PKH1, GCN3, SLM5, ARG1, YHR138C, COX4, MSC3, RPC19, TOD6, BDH2, ACO1, YML100W, MRPS35, RTC3, SUA7, GPM2, RNT1, DAL7, IDH1
GO:0015980	energy derivation by oxidation of organic compounds	1.11592594045172e-06	8.65058868567228e-10	29	350	163	7166	0.00%	0.00	ADH4, SOD1, GLC3, ACS1, GIP2, ETR1, IDP2, GPH1, IGD1, CYC7, NDI1, ACO1, COX4, GSY2, MDH1, COX2, PLN1, GSY1, COX13, QCR2, IDH2, YBR145W, DAK2, GDB1, CIT1, SDH2, IDH1, DAL7, MDH2
GO:0044237	cellular metabolic process	3.02077891651431e-06	2.34168908256923e-09	254	350	4133	7166	0.00%	0.00	ARO10, NQM1, MCK1, COX13, GDE1, CAT2, RPF1, GDB1, YKL151C, YLR345W, QCR2, MED1, PHO5, STR2, BUD16, FMN1, ARG4, MET3, GPH1, ETR1, TDA1, ADE16, GLK1, SDS22, MSC1, DUN1, ATP4, YMR315W, GGA1, LYS1, MXR2, INO1, EXG1, DSF1, YLR150W, ARA2, GSY1, RIB5, ALD2, GND2, PHO81, ATG23, SAF1, MDH2, KTR4, GCY1, RDL1, ADD37, YLL058W, DCS2, IMA1, SOL4, CWC2, RIM15, PHO11, CYC7, PAD1, GFA1, PNC1, RML2, YCL047C, LCB5, STP22, TAF9, TMA17, HIS3, IDH2, NCS6, SNZ1, HXK1, BUL1, DPS1, AIM17, HSP32, MET5, YPT6, BUD27, SDT1, IDP2, PDC6, SHM2, BDF1, FMP40, CBP6, PUS9, YHR030C, TAL1, MEC3, TPK3, SWD2, PHO84, MAK5, GCV2, CMK1, MRPL22, UBC4, TPS1, EXO84, MSH1, DCS1, GPD1, ISC1, SDH2, ECM38, YIL160C, SNZ2, CIT1, SIW14, GIP2, RPL8A, HSP104, SML1, MCR1, RMT2, DCN1, VTC2, TDH1, VTC4, CTT1, PBI2, MRPS35, SUA7, GPM2, RNT1, RTC3, DAL7, IDH1, MHT1, SLM5, SSA3, GCN3, PKH1, COX4, RPC19, MSC3, TOD6, YML100W, ACO1, ARG1, YHR138C, MDH1, GOR1, POS5, SDS3, YDR248C, RPA190, NSR1, NOP19, HIS5, DLD3, ARA1, RPL21B, ALD4, YDL124W, DAK2, TFS1, GDH2, SEN1, XKS1, GAD1, SNO4, BNA5, SOD1, CPS1, UGA2, TPS2, HSP33, EHT1, ATP25, MTQ2, ACS2, CYB2, NMA111, FRA1, MET13, SAM4, HSL1, MRP21, ARG7, AHP1, PFK26, SMK1, TKL2, SER3, FAA1, DPB4, DLD1, PRB1, UTP18, DAL3, TSA2, YNL200C, PLN1, AAH1, ANB1, CBP3, MRPL24, ALD3, MRPL49, MRPL23, GLC3, PNP1, MTF2, RPL33A, THI6, ERG27, IMG1, RAD2, YLR455W, CDC16, YNR073C, HOC1, ALT1, VAR1, AYR1, GTT1, MET14, COX2, GSY2, SHO1, MRPL10, ARG8, RPS29B, VID22, ATP17, ILV5, YBR208C, FBP26, IMD2, YBR145W, CDD1, HCA4, VTC3, MRPL9, LYS4, SDH7, ACS1, TRR2, RPP2B, ADH4, DPB2, SRO9, TOP1, UGA1, IGD1, ADK1, ATP20, GRX4, DHR2, SPE1, SNZ3, NDI1, DAL81, MRPS5
GO:0044262	cellular carbohydrate metabolic process	4.45380768705814e-06	3.45256409849468e-09	32	350	205	7166	0.00%	0.00	DAK2, GDB1, TPS1, YLR345W, GCY1, XKS1, DAL7, HXK1, EXG1, INO1, GSY2, DSF1, YDR248C, GND2, FBP26, GSY1, ARA1, IGD1, YML100W, YNR073C, GFA1, PFK26, GLC3, SIW14, IMA1, GIP2, SDH7, TPS2, IDP2, HSP104, GPH1, GLK1
